Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production Tons,Average Employees,Labor Hours
2020,103489,John Poe Mine,Alabama,De Kalb,Active,Surface,Independent Producer Operator,Mine only,Kennedy Brothers Construction,"756 Co. Rd 676, Fort Payne, AL 35968",,Appalachia Southern,17865,2,1440
2020,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Preparation Plant,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,47,102797
2020,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,239590,42,107899
2020,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Bessemer, AL 35023",United Mine Workers Of America,Appalachia Southern,1608068,397,913988
2020,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,5708153,844,2149456
2020,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Preparation Plant,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,12,27490
2020,103285,Narley Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,13813,9,22418
2020,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Alaco L.L.C.,"301 Matthews Drive, Jasper, AL 35503",,Appalachia Southern,159870,39,91635
2020,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,222842,49,120634
2020,103455,Weller Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,37565,13,30450
2020,103523,Shannon Mine No. 3,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Rjr Mining Company, Inc.","P.O. Box 1253, Cullman, AL 35056",,Appalachia Southern,148410,32,71599
2020,103529,Sloan Mtn. No. 3,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,152478,38,103998
2020,4609151,Shm 46 Highwall Miner,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Bundy Auger Mining Inc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Southern,9002,4,1990
2020,103380,Calera,Alabama,Shelby,Active,Surface,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,0,881
2020,103380,Calera,Alabama,Shelby,Active,Underground,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,8,16749
2020,103500,Murry Creek Surface Mine,Alabama,Shelby,Active,Surface,Independent Producer Operator,Mine only,"Camellia Met Mining, Llc","3400 County Road 260, Alabaster, AL 35114",,Appalachia Southern,3114,4,8200
2020,101247,No 4 Mine,Alabama,Tuscaloosa,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,2156095,404,1111612
2020,103172,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,67467,31,63046
2020,103436,Swann's Crossing,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","5710 University Blvd East, Cottondale, AL 35453",,Appalachia Southern,78157,32,66078
2020,103487,Carter Mine,Alabama,Tuscaloosa,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490",,Appalachia Southern,8898,8,4825
2020,103535,Deerlick West Mine,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490",,Appalachia Southern,45920,13,32250
2020,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,217646,36,86427
2020,102901,Shoal Creek Mine,Alabama,Walker,"Active, men working, not producing",Surface,Independent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 327, Oakman, AL 35579",United Mine Workers Of America,Appalachia Southern,0,3,877
2020,102901,Shoal Creek Mine,Alabama,Walker,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 327, Oakman, AL 35579",United Mine Workers Of America,Appalachia Southern,714831,358,832648
2020,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Independent Producer Operator,Preparation Plant,Prospect Mining & Development,"2002 2nd Avenue, Jasper, AL 35501",,Appalachia Southern,0,15,34573
2020,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Independent Producer Operator,Mine only,Clas Coal Company Inc.,"P.O. Box 1291, Jasper, AL 35501",,Appalachia Southern,103699,24,55527
2020,103421,Slate Creek Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Yellowhammer Energy Solutions,","P.O. Box 2705, Jasper, AL 35502",,Appalachia Southern,97413,27,54893
2020,103426,Carbon Hill Prep Plant,Alabama,Walker,Active,Underground,Independent Producer Operator,Preparation Plant,Prospect Mining & Development,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,0,10,21237
2020,103496,Dutton Hill Mine No. 2,Alabama,Walker,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,525,8,21299
2020,103522,Mccollum Mine,Alabama,Walker,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Quality Coal Company, Inc.","P.O. Box 88, Jasper, AL 35502",,Appalachia Southern,13476,6,3428
2020,103532,Stave Hollow Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Signal Resources, Llc","240 Oxmoor Circle, Suite 111, Birmingham, AL 35209",,Appalachia Southern,19411,4,6764
2020,103533,Shm-82,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Mega Highwall Mining Llc,"12081 Virginia Blvd, Ashland, KY 41102",,Appalachia Southern,274905,6,13308
2020,4609415,Shm 06,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Yellowhammer Energy,"2005 Webster Road, Summersville, WV 26651",,Appalachia Southern,32183,5,5352
2020,5000030,Usibelli,Alaska,Denali,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743","International Brotherhood Of Teamsters, Chauffeurs, Warehouse",Western,1020870,102,199949
